1,679857.8966,419324.0716,19.87,7.23,1164054200
2,679857.8396,419323.441,20.37,2.21,1164054300
3,679857.7814,419322.8186,20.52,-0.47,1164054400
4,679857.725,419322.1968,20.5,-0.29,1164054500
5,679857.6686,419321.5753,20.49,0.04,1164054600
6,679857.6122,419320.9535,20.48,0,1164054700
7,679857.5558,419320.332,20.48,0,1164054800
8,679857.4994,419319.7102,20.48,0,1164054900
9,679857.443,419319.0887,20.48,0,1164055000
10,679857.3866,419318.4669,20.48,0,1164055100
11,679857.3302,419317.8454,20.48,0,1164055200
12,679857.2739,419317.2236,20.48,0,1164055300
13,679857.2175,419316.6022,20.48,0,1164055400
14,679857.1611,419315.9807,20.48,0,1164055500
15,679857.1047,419315.3589,20.48,0,1164055600
16,679857.0483,419314.7374,20.48,0,1164055700
17,679856.9919,419314.1156,20.48,0,1164055800
18,679856.9355,419313.4941,20.48,0,1164055900
19,679856.8795,419312.8726,20.48,0,1164056000
