1,679859.402,419337.8031,13.02,0,1164054300
2,679859.3791,419337.4069,13.02,0,1164054400
3,679859.356,419337.0107,13.02,0,1164054500
4,679859.3328,419336.6144,13.01,0,1164054600
5,679859.3099,419336.2185,14.21,11.19,1164054700
6,679859.2868,419335.8222,16.96,11.21,1164054800
7,679859.2636,419335.4263,18.93,11.32,1164054900
8,679859.2407,419335.0301,18.95,-11.23,1164055000
9,679859.2249,419334.6329,17.05,-12.27,1164055100
10,679859.1548,419334.2367,14.41,-10.02,1164055200
11,679859.0332,419333.8471,13.51,5.04,1164055300
12,679858.8576,419333.4677,13.98,5.03,1164055400
13,679858.6302,419333.0967,14.46,5.02,1164055500
14,679858.3486,419332.7294,14.8,5,1164055600
15,679858.0749,419332.3634,14.93,0.7,1164055700
16,679857.8015,419331.9997,14.89,-0.84,1164055800
17,679857.5287,419331.6382,14.82,-0.79,1164055900
18,679857.2565,419331.2795,14.74,-0.78,1164056000
