1,679861.0741,419361.0594,0.11,1.46,1164054300
2,679861.0741,419361.0572,0.74,9.5,1164054400
3,679861.0762,419361.0749,2.27,11.21,1164054500
4,679861.0765,419360.9844,4.73,11.2,1164054600
5,679861.0665,419360.7966,7.86,11.19,1164054700
6,679861.0424,419360.5068,10.98,11.2,1164054800
7,679861.008,419360.1194,13.44,11.21,1164054900
8,679860.9717,419359.6241,15.01,10.07,1164055000
9,679860.9376,419359.1486,15.6,0.56,1164055100
10,679860.9031,419358.6731,15.27,-6.53,1164055200
11,679860.8668,419358.1778,14.31,-11.2,1164055300
12,679860.8342,419357.7712,13.05,-11.2,1164055400
13,679860.8102,419357.3935,12.11,-6.25,1164055500
14,679860.7909,419357.0997,12.11,6.26,1164055600
15,679860.7699,419356.7221,13.04,11.2,1164055700
16,679860.7419,419356.3152,14.31,11.2,1164055800
17,679860.7099,419355.8196,15.23,5.96,1164055900
