1,679859.9415,419344.695,8.81,2.06,1164054300
2,679859.9555,419344.4389,9.28,6.87,1164054400
3,679859.9668,419344.1649,10.18,10.91,1164054500
4,679859.9637,419343.8336,11.46,10.72,1164054600
5,679859.9424,419343.4663,12.75,10.9,1164054700
6,679859.907,419343.042,13.68,6.85,1164054800
7,679859.8686,419342.5995,14.16,2.05,1164054900
8,679859.8333,419342.167,14.28,-0.28,1164055000
9,679859.7976,419341.7344,14.26,-0.27,1164055100
10,679859.7622,419341.3019,14.24,0,1164055200
11,679859.7269,419340.8691,14.24,0,1164055300
12,679859.6912,419340.4366,14.24,0,1164055400
13,679859.6559,419340.0041,14.24,0,1164055500
14,679859.6202,419339.5713,14.24,0,1164055600
15,679859.5849,419339.1388,14.24,0,1164055700
16,679859.5495,419338.7063,14.24,0,1164055800
17,679859.5138,419338.2737,14.24,0,1164055900
